url_length,hostname_length,path_length,count_hyphens,count_dots,count_at,count_questionmark,count_equals,count_slashes,count_digits,has_ip,has_https,is_shortened
23,14,1,0,2,0,0,0,3,0,0,1,0
99,30,61,7,4,0,0,0,5,10,0,1,0
38,29,1,1,2,0,0,0,3,3,0,1,0
35,20,8,0,2,0,0,0,3,0,0,0,1
26,17,1,1,2,0,0,0,3,0,0,1,0
35,14,14,0,2,0,0,0,3,0,0,0,0
37,29,1,1,3,0,0,0,3,1,0,0,1
62,22,33,0,2,0,0,0,6,0,0,0,0
137,15,114,0,3,0,0,0,4,36,0,1,0
23,14,1,0,2,0,0,0,3,0,0,1,0
49,17,24,0,3,0,0,0,4,1,0,1,0
45,29,8,0,2,0,1,0,3,22,0,0,0
45,22,16,0,1,0,0,0,4,0,0,0,0
68,22,38,2,3,0,0,0,6,4,0,1,0
27,11,8,1,1,0,0,0,4,2,0,1,0
24,15,1,1,2,0,0,0,3,0,0,1,0
106,8,27,0,2,0,1,3,6,0,0,0,0
146,24,115,0,4,0,0,0,6,19,0,0,1
69,15,46,4,2,0,0,0,5,0,0,1,0
55,15,32,0,2,0,0,0,7,1,0,1,0
43,14,22,0,3,0,0,0,5,6,0,0,0
22,13,1,0,1,0,0,0,3,0,0,1,0
79,21,50,7,3,0,0,0,3,4,0,1,0
218,12,33,1,3,0,1,3,6,81,0,0,0
53,15,31,4,2,0,0,0,3,0,0,0,0
87,12,68,0,3,0,0,0,6,8,0,0,0
31,22,1,0,2,0,0,0,3,0,0,1,0
121,46,20,0,5,0,1,3,5,18,0,0,0
25,17,1,0,2,0,0,0,3,0,0,0,0
28,19,1,1,2,0,0,0,3,0,0,1,0
63,10,46,0,1,0,0,0,6,23,0,0,0
20,11,1,0,1,0,0,0,3,0,0,1,0
70,49,13,2,5,0,0,0,4,17,0,1,1
42,14,20,0,1,0,0,0,5,0,0,1,0
39,9,23,0,2,0,0,0,5,0,0,0,0
177,17,33,1,3,0,1,3,7,54,0,0,0
45,13,24,0,1,0,0,0,6,5,0,1,0
26,18,1,0,2,0,0,0,3,0,0,0,0
62,24,31,3,3,0,0,0,3,0,0,0,0
56,17,31,1,2,0,0,0,7,0,0,1,0
155,22,126,2,3,0,0,0,9,0,0,0,0
271,20,78,0,5,0,1,3,10,84,0,0,0
88,14,66,6,2,0,0,0,4,6,0,1,0
51,18,26,0,3,0,0,0,5,0,0,0,1
44,24,12,0,3,0,0,0,3,0,0,1,0
43,13,22,3,2,0,0,0,3,0,0,1,0
27,18,1,1,2,0,0,0,3,0,0,1,0
64,39,17,1,5,0,0,0,4,0,0,1,1
99,15,76,2,2,0,0,0,7,8,0,1,0
23,16,0,0,2,0,0,0,2,0,0,0,0
39,30,1,1,2,0,0,0,3,0,0,1,0
83,20,50,1,3,0,1,1,7,1,0,0,0
20,12,1,0,2,0,0,0,3,0,0,0,0
59,20,32,1,3,0,0,0,6,0,0,0,0
58,34,16,1,2,0,0,0,4,3,0,1,0
46,17,22,2,2,0,0,0,4,0,0,0,1
29,21,1,0,2,0,0,0,3,0,0,0,0
40,32,1,0,2,0,0,0,3,6,0,0,0
70,17,46,1,2,0,0,0,6,0,0,0,0
55,29,19,1,5,0,0,0,4,1,0,0,1
72,19,45,4,2,0,0,0,5,0,0,1,0
52,14,30,3,1,0,0,0,4,0,0,1,0
54,12,35,4,1,0,0,0,4,0,0,0,0
70,49,13,2,5,0,0,0,4,17,0,1,1
56,16,32,0,2,0,0,0,4,0,0,1,0
52,20,25,0,3,0,0,0,5,0,0,0,0
32,25,0,0,2,0,0,0,2,0,0,0,1
133,11,114,6,3,0,0,0,7,0,0,1,0
69,15,19,0,4,0,1,2,5,0,0,1,0
36,27,1,0,2,0,0,0,3,0,0,1,0
31,23,1,0,2,0,0,0,3,0,0,0,0
38,31,0,0,2,0,0,0,2,0,0,0,1
61,16,38,4,2,0,0,0,5,0,0,0,1
81,19,55,0,2,0,0,0,7,21,0,0,0
24,15,1,0,2,0,0,0,3,0,0,1,0
36,20,9,0,2,0,0,0,4,0,0,0,0
26,18,1,0,2,0,0,0,3,0,0,0,0
82,16,46,0,2,0,1,1,6,7,0,1,0
44,30,7,2,2,0,0,0,3,9,0,0,0
42,19,16,0,3,0,0,0,5,0,0,0,0
56,19,30,0,2,0,0,0,4,2,0,0,0
236,15,48,1,2,0,1,3,9,88,0,0,0
49,26,16,0,3,0,0,0,3,0,0,0,0
83,15,61,7,2,0,0,0,3,11,0,0,0
54,16,31,0,2,0,0,0,4,0,0,0,0
27,19,1,1,2,0,0,0,3,0,0,0,0
17,10,0,0,1,0,0,0,2,0,0,0,0
